;;;;;;;;;DEPOT NOM : >;Clemenceau;Kroutcheff;Staline
;;613;Centre Binet;66, av. de la Pte de Montmartre;75018;Paris;;;;115;230;345
;;614;Antenne jeunes Mont Cenis;119 rue du Mont Cenis;75018;Paris;;;;117;234;351
;;615;Centre d'animations Clavel;26, rue clavel;75019;Paris;;;;119;238;357
;;616;Centre d'animations Curial;90, rue curial;75019;Paris;;;;121;242;363
;;617;Centre d'animations Mathis;15, rue mathis;75019;Paris;;;;123;246;369
;;618;Centre d'animations Rébeval;36, rue Rebéval;75019;Paris;;;;125;250;375
;;619;Centre d'Animation Solidarité;135, bd Sérurier;75019;Paris;;;;127;254;381
;;620;Centre d'Animation Places des Fêtes;4, rue des Lilas;75019;Paris;;;;129;258;387
;;621;Espace jeune Centre social;17 rue jules Romain;75019;Paris;;;;131;262;393
;;622;Centre d'animations Les Amandiers;110, rue des Amandiers;75020;Paris;;;;133;266;399
;;623;Centre d'animations Louis Lumière;48, rue Louis Lumière;75020;Paris;;;;135;270;405
;;624;Centre d’animation Espace Saint Blaise;1 rue Pauline Kergomard;75020;Paris;;;;137;274;411
;;625;PIJ / Antenne Jeunes Pyhton;39 rue Joseph Pyhton;75020;Paris;;;;139;278;417
;;626;Centre d'animation Louis Lumière;46 rue Louis Lumière;75020;Paris;;;;141;282;423
;;627;Antenne Jeunes Davoult;93 bd Davoult;75020;Paris;;;;143;286;429
;;628;Les Funambules;12, rue Faidherbe;75011;Paris;;;;145;290;435
;;629;Marquise Café;74, rue Jean-Pierre Timbaud;75011;Paris;;;;147;294;441
;;630;Le Petit ney;10 avenue de la porte montmartre;75018;Paris;;;;149;298;447
